2022-04-27 11:13:30.619 UTC,,,1703,,6269255a.6a7,1,,2022-04-27 11:13:30 UTC,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,"","postmaster",,0
2022-04-27 11:13:30.619 UTC,,,1703,,6269255a.6a7,2,,2022-04-27 11:13:30 UTC,,0,LOG,00000,"starting PostgreSQL 14.1 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 7.5.0-3ubuntu1~18.04) 7.5.0, 64-bit",,,,,,,,,"","postmaster",,0
2022-04-27 11:13:30.620 UTC,,,1703,,6269255a.6a7,3,,2022-04-27 11:13:30 UTC,,0,LOG,00000,"listening on IPv4 address ""127.0.0.1"", port 5432",,,,,,,,,"","postmaster",,0
2022-04-27 11:13:30.630 UTC,,,1703,,6269255a.6a7,4,,2022-04-27 11:13:30 UTC,,0,LOG,00000,"listening on Unix socket ""/tmp/.s.PGSQL.5432""",,,,,,,,,"","postmaster",,0
2022-04-27 11:13:30.656 UTC,,,1708,,6269255a.6ac,1,,2022-04-27 11:13:30 UTC,,0,LOG,00000,"database system was shut down at 2022-04-27 11:12:08 UTC",,,,,,,,,"","startup",,0
2022-04-27 11:13:30.681 UTC,,,1703,,6269255a.6a7,5,,2022-04-27 11:13:30 UTC,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,"","postmaster",,0
2022-04-27 11:13:44.390 UTC,"postgres","c18395341_stockbroker_db",1717,"[local]",62692568.6b5,1,"idle",2022-04-27 11:13:44 UTC,3/2,0,LOG,00000,"statement: DROP SCHEMA Internal_schema CASCADE;",,,,,,,,,"psql","client backend",,0
2022-04-27 11:13:44.405 UTC,"postgres","c18395341_stockbroker_db",1717,"[local]",62692568.6b5,2,"idle",2022-04-27 11:13:44 UTC,3/3,0,LOG,00000,"statement: DROP SCHEMA Public_info CASCADE;",,,,,,,,,"psql","client backend",,0
2022-04-27 11:13:44.408 UTC,"postgres","c18395341_stockbroker_db",1717,"[local]",62692568.6b5,3,"idle",2022-04-27 11:13:44 UTC,3/4,0,LOG,00000,"statement: DROP ROLE Trader;",,,,,,,,,"psql","client backend",,0
2022-04-27 11:13:44.413 UTC,"postgres","c18395341_stockbroker_db",1717,"[local]",62692568.6b5,4,"idle",2022-04-27 11:13:44 UTC,3/5,0,LOG,00000,"statement: DROP ROLE Customer;",,,,,,,,,"psql","client backend",,0
2022-04-27 11:13:44.414 UTC,"postgres","c18395341_stockbroker_db",1717,"[local]",62692568.6b5,5,"idle",2022-04-27 11:13:44 UTC,3/6,0,LOG,00000,"statement: CREATE SCHEMA Internal_schema;",,,,,,,,,"psql","client backend",,0
