2022-04-30 10:54:19.841 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,2,"idle",2022-04-30 10:54:19 UTC,4/141,0,LOG,00000,"statement: DROP SCHEMA Public_info CASCADE;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.848 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,3,"idle",2022-04-30 10:54:19 UTC,4/142,0,LOG,00000,"statement: DROP ROLE Trader;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.851 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,4,"idle",2022-04-30 10:54:19 UTC,4/143,0,LOG,00000,"statement: DROP ROLE Customer;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.854 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,5,"idle",2022-04-30 10:54:19 UTC,4/144,0,LOG,00000,"statement: CREATE SCHEMA Internal_schema;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.855 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,6,"idle",2022-04-30 10:54:19 UTC,4/145,0,LOG,00000,"statement: CREATE SCHEMA Public_info;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.857 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,7,"idle",2022-04-30 10:54:19 UTC,4/146,0,LOG,00000,"statement: CREATE ROLE Trader;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.859 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,8,"idle",2022-04-30 10:54:19 UTC,4/147,0,LOG,00000,"statement: CREATE ROLE Customer WITH LOGIN;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.861 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,9,"idle",2022-04-30 10:54:19 UTC,4/148,0,LOG,00000,"statement: ALTER DEFAULT PRIVILEGES IN SCHEMA Internal_schema REVOKE ALL ON TABLES FROM PUBLIC;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.862 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,10,"idle",2022-04-30 10:54:19 UTC,4/149,0,LOG,00000,"statement: ALTER DEFAULT PRIVILEGES IN SCHEMA Public_info REVOKE ALL ON TABLES FROM PUBLIC;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.863 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,11,"idle",2022-04-30 10:54:19 UTC,4/150,0,LOG,00000,"statement: ALTER DEFAULT PRIVILEGES IN SCHEMA Internal_schema GRANT SELECT ON TABLES TO Trader;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.866 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,12,"idle",2022-04-30 10:54:19 UTC,4/151,0,LOG,00000,"statement: ALTER DEFAULT PRIVILEGES IN SCHEMA Internal_schema GRANT INSERT ON TABLES TO Trader;",,,,,,,,,"psql","client backend",,0
2022-04-30 10:54:19.867 UTC,"postgres","c18395341_stockbroker_db",3040,"[local]",626d155b.be0,13,"idle",2022-04-30 10:54:19 UTC,4/152,0,LOG,00000,"statement: ALTER DEFAULT PRIVILEGES IN SCHEMA Public_info GRANT SELECT ON TABLES TO Cutomer;",,,,,,,,,"psql","client backend",,0
